Average operating time,Desired Position Motor #1,Present Position Motor #1,Desired Position Motor #2,Present Position Motor #2
31931.6,-145.623,-157.117,105.8,87.3244
31931.7,-138.692,-155.295,114.735,90.6181
31931.8,-138.692,-153.493,114.735,93.805
31932,-138.692,-151.61,114.735,97.0951
31932,-131.214,-149.594,123.218,100.273
31932.2,-131.214,-147.623,123.218,103.343
31932.3,-131.214,-145.563,123.218,106.476
31932.5,-131.214,-143.35,123.218,109.517
31932.6,-123.218,-141.231,131.214,112.183
31932.7,-123.218,-139.273,131.214,114.567
31932.9,-123.218,-137.316,131.214,116.941
31932.9,-114.736,-135.257,138.692,119.465
31933.1,-114.736,-133.168,138.692,121.997
31933.3,-114.736,-130.943,138.692,124.7
31933.3,-105.801,-128.549,145.623,127.303
31933.5,-105.801,-126.2,145.623,129.81
31933.6,-105.801,-123.742,145.623,132.415
31933.7,-96.4484,-121.135,151.979,134.906
31933.8,-96.4484,-118.564,151.979,137.243
31934,-96.4484,-115.882,151.979,139.761
31934,-86.7154,-113.079,157.735,142.067
31934.2,-86.7154,-110.324,157.735,144.261
31934.3,-86.7154,-107.452,157.735,146.56
31934.9,-76.6403,-104.488,162.868,148.76
31934.5,-76.6403,-101.527,162.868,150.783
31935,-76.6403,-98.5269,162.868,152.801
31934.7,-66.2618,-95.4371,167.359,154.776
31934.8,-66.2618,-92.3708,167.359,156.552
31935,-66.2618,-89.2645,167.359,158.495
31935.1,-55.6229,-85.9874,171.189,160.26
31935.2,-55.6229,-82.8294,171.189,161.833
31935.4,-55.6229,-79.5989,171.189,163.513
31935.5,-55.6229,-76.263,171.189,165.018
31935.5,-44.7638,-73.0031,174.344,166.191
31935.6,-44.7638,-69.9233,174.344,167.263
31935.8,-44.7638,-66.9231,174.344,168.521
31935.8,-33.7283,-63.7787,176.811,169.691
31935.9,-33.7283,-60.6838,176.811,170.702
31936,-33.7283,-57.51,176.811,171.814
31936.1,-22.5594,-54.225,178.58,172.809
31936.2,-22.5594,-50.9529,178.58,173.705
31936.3,-22.5594,-47.6386,178.58,174.625
31936.4,-11.3016,-44.208,179.644,175.39
31936.5,-11.3016,-40.809,179.644,176.084
31936.5,-11.3016,-37.326,179.644,176.801
31936.7,0,-33.7405,180,177.359
31936.8,0,-30.2404,180,177.894
31936.8,0,-26.6671,180,178.313
31936.9,11.3016,-23.017,179.644,178.628
31937.1,11.3016,-19.3641,179.644,178.815
31937.2,11.3016,-15.7578,179.644,178.95
31937.3,22.5594,-11.9873,178.58,179.065
31937.4,22.5594,-8.3652,178.58,179.078
31937.6,22.5594,-4.64917,178.58,179.041
31937.7,33.7283,-0.880057,176.811,178.983
31937.8,33.7283,2.77788,176.811,178.822
31937.9,33.7283,6.46881,176.811,178.453
31938.1,33.7283,10.2659,176.811,178.13
31938.1,44.7638,13.9159,174.344,177.907
31938.3,44.7638,17.3616,174.344,177.613
31938.4,44.7638,20.7082,174.344,177.069
31938.5,55.6229,24.1281,171.189,176.525
31938.6,55.6229,27.4611,171.189,176.006
31938.7,55.6229,30.8493,171.189,175.209
31938.8,66.2618,34.31,167.359,174.35
31939,66.2618,37.7098,167.359,173.548
31939,66.2618,41.1238,167.359,172.582
31939.1,76.6403,44.6735,162.868,171.55
31939.2,76.6403,48.1248,162.868,170.49
31939.3,76.6403,51.6063,162.868,169.176
31939.3,86.7154,55.1402,157.735,167.917
31940,86.7154,58.6174,157.735,166.743
31939.6,86.7154,62.0824,157.735,165.313
31939.6,96.4484,65.6471,151.979,163.803
31939.7,96.4484,69.0913,151.979,162.368
