Average timer callback time, Average topic callback time,Desired Position Motor #1,Present Position Motor #1,Desired Position Motor #2,Present Position Motor #2
31927,11.5581,-145.623,-158.84,105.8,83.8483
31927.2,11.5581,-145.623,-157.141,105.8,87.277
31927.3,11.5581,-145.623,-155.333,105.8,90.5861
31927.7,11.5057,-138.692,-153.561,114.735,93.5182
31927.6,11.5057,-138.692,-151.946,114.735,96.0415
31927.8,11.5057,-138.692,-150.379,114.735,98.7413
31927.8,11.5227,-131.214,-148.711,123.218,101.544
31928.1,11.5227,-131.214,-146.941,123.218,104.402
31928.2,11.5227,-131.214,-145.024,123.218,107.27
31928.6,11.4831,-123.218,-142.938,131.214,110.159
31928.5,11.4831,-123.218,-140.879,131.214,112.919
31928.7,11.4831,-123.218,-138.71,131.214,115.808
31928.9,11.4333,-114.736,-136.37,138.692,118.635
31929,11.4333,-114.736,-134.064,138.692,121.399
31929.2,11.4333,-114.736,-131.696,138.692,124.109
31929.2,11.4066,-105.801,-129.181,145.623,126.827
31929.4,11.4066,-105.801,-126.695,145.623,129.39
31929.5,11.4066,-105.801,-124.122,145.623,132.056
31929.7,11.4239,-96.4484,-121.416,151.979,134.59
31929.8,11.4239,-96.4484,-118.788,151.979,136.961
31930,11.4239,-96.4484,-116.067,151.979,139.407
31930,11.3978,-86.7154,-113.213,157.735,141.806
31930.2,11.3978,-86.7154,-110.433,157.735,144.098
31930.4,11.3978,-86.7154,-107.558,157.735,146.36
31930.4,11.3723,-76.6403,-104.589,162.868,148.564
31930.6,11.3723,-76.6403,-101.626,162.868,150.607
31930.8,11.3723,-76.6403,-98.6209,162.868,152.787
31930.9,11.3723,-76.6403,-95.536,162.868,154.699
31931,11.3474,-66.2618,-92.4691,167.359,156.254
31931.2,11.3474,-66.2618,-89.6317,167.359,157.63
31931.4,11.3474,-66.2618,-86.8165,167.359,159.149
31931.4,11.3229,-55.6229,-83.8988,171.189,160.721
31931.6,11.3229,-55.6229,-81.0133,171.189,162.305
31931.7,11.3229,-55.6229,-78.0274,171.189,163.957
31931.8,11.299,-44.7638,-74.9296,174.344,165.384
31932,11.299,-44.7638,-71.8226,174.344,166.535
31932.1,11.299,-44.7638,-68.6588,174.344,167.953
31932.2,11.2755,-33.7283,-65.3616,176.811,169.261
31932.8,11.2755,-33.7283,-62.0788,176.811,170.313
31932.5,11.2755,-33.7283,-58.7601,176.811,171.511
31932.6,11.2525,-22.5594,-55.3145,178.58,172.552
31932.7,11.2525,-22.5594,-51.9226,178.58,173.485
31932.9,11.2525,-22.5594,-48.4763,178.58,174.477
31932.9,11.27,-11.3016,-44.9145,179.644,175.234
31933.1,11.27,-11.3016,-41.4036,179.644,175.97
31933.2,11.27,-11.3016,-37.864,179.644,176.687
31933.3,11.2475,0,-34.1522,180,177.267
31933.4,11.2475,0,-30.5811,180,177.793
31933.6,11.2475,0,-26.9705,180,178.255
31933.7,11.2255,11.3016,-23.2337,179.644,178.601
31933.9,11.2255,11.3016,-19.5829,179.644,178.792
31933.8,11.2255,11.3016,-15.9228,179.644,178.93
31934,11.2255,11.3016,-12.1774,179.644,179.059
31934,11.2039,22.5594,-8.54236,178.58,179.163
31934.2,11.2039,22.5594,-5.11753,178.58,179.166
31934.3,11.2039,22.5594,-1.80602,178.58,179.116
31934.3,11.1923,33.7283,1.61451,176.811,179.047
31934.5,11.1923,33.7283,4.95328,176.811,178.872
31934.6,11.1923,33.7283,8.35373,176.811,178.485
31934.7,11.181,44.7638,11.8302,174.344,178.162
31934.8,11.181,44.7638,15.3052,174.344,177.813
31934.9,11.181,44.7638,18.7903,174.344,177.262
31934.9,11.1981,55.6229,22.4153,171.189,176.673
31935.1,11.1981,55.6229,25.9147,171.189,176.148
31935.4,11.1981,55.6229,29.4959,171.189,175.334
31935.3,11.1776,66.2618,33.2033,167.359,174.443
31935.4,11.1776,66.2618,36.7465,167.359,173.601
31935.6,11.1776,66.2618,40.322,167.359,172.658
31935.6,11.1481,76.6403,44.0021,162.868,171.614
31935.8,11.1481,76.6403,47.5611,162.868,170.556
31935.9,11.1481,76.6403,51.1143,162.868,169.259
31935.9,11.156,86.7154,54.7056,157.735,167.989
31936.1,11.156,86.7154,58.2236,157.735,166.82
31936.2,11.156,86.7154,61.7482,157.735,165.394
31936.2,11.156,86.7154,65.3344,157.735,163.841
31936.3,11.1364,96.4484,68.7692,151.979,162.616
31936.4,11.1364,96.4484,71.9983,151.979,161.604
31936.5,11.1364,96.4484,75.0982,151.979,160.357
31936.6,11.0991,105.801,78.2612,145.623,158.854
31936.7,11.0991,105.801,81.3325,145.623,157.295
31936.9,11.0991,105.801,84.4066,145.623,155.426
31936.9,11.0804,114.736,87.5696,138.692,153.551
31937,11.0804,114.736,90.6043,138.692,151.755
31937,11.0804,114.736,93.6762,138.692,149.755
31937.1,11.0619,123.218,96.8091,131.214,147.697
31937.2,11.0619,123.218,99.8388,131.214,145.728
31937.3,11.0619,123.218,102.892,131.214,143.507
31937.5,11.0351,131.214,105.959,123.218,141.256
31937.5,11.0351,131.214,108.933,123.218,138.951
31937.6,11.0351,131.214,111.878,123.218,136.628
31937.6,11.0261,138.692,114.873,114.735,134.212
31937.7,11.0261,138.692,117.708,114.735,131.825
31938.3,11.0261,138.692,120.546,114.735,129.229
31938.1,11.1207,145.623,123.412,105.8,126.649
31937.9,11.1207,145.623,126.12,105.8,124.077
31937.9,11.1207,145.623,128.832,105.8,121.319
31938,11.1026,151.979,131.537,96.448,118.47
31938.1,11.1026,151.979,134.087,96.448,115.861
31938.1,11.1026,151.979,136.637,96.448,112.939
31938.2,11.1026,151.979,139.187,96.448,110.018
31938.2,11.0847,157.735,141.539,86.7153,107.417
31938.4,11.0847,157.735,143.638,86.7153,105.026
31938.6,11.0847,157.735,145.601,86.7153,102.517
31938.4,11.0756,162.869,147.585,76.64,99.7499
31938.6,11.0756,162.869,149.529,76.64,97.133
31938.6,11.0756,162.869,151.477,76.64,94.0148
31938.6,11.0583,167.359,153.424,66.2613,91.0708
31938.8,11.0583,167.359,155.221,66.2613,87.9905
31938.9,11.0583,167.359,157.06,66.2613,84.7858
31938.9,11.0331,171.19,158.906,55.6219,81.6687
31939,11.0331,171.19,160.58,55.6219,78.5256
31939.1,11.0331,171.19,162.227,55.6219,75.1644
31939.2,11,174.345,163.876,44.7633,71.7973
31939.3,11,174.345,165.368,44.7633,68.5333
31939.4,11,174.345,166.803,44.7633,65.0181
31939.5,10.9675,176.811,168.201,33.728,61.5028
31939.6,10.9675,176.811,169.452,33.728,58.1179
31939.7,10.9675,176.811,170.674,33.728,54.496
31939.7,10.9435,178.581,171.874,22.5588,50.8824
31939.8,10.9435,178.581,172.886,22.5588,47.4465
31939.9,10.9435,178.581,173.81,22.5588,43.8056
31940,10.928,179.644,174.723,11.3019,40.096
31940,10.928,179.644,175.487,11.3019,36.557
31940.2,10.928,179.644,176.232,11.3019,32.8521
31940.2,10.928,179.644,176.923,11.3019,29.171
31940.3,10.9127,180,177.447,0,25.837
31940.4,10.9127,180,177.897,0,22.7544
31940.7,10.9127,180,178.32,0,19.5935
31940.6,10.9055,179.644,178.649,-11.3019,16.3247
31940.6,10.9055,179.644,178.895,-11.3019,13.056
31940.7,10.9055,179.644,179.028,-11.3019,9.55259
31940.7,10.8906,178.581,179.136,-22.5588,6.02785
31940.8,10.8906,178.581,179.219,-22.5588,2.57067
31941,10.8906,178.581,179.177,-22.5588,-1.06785
31940.9,10.876,176.811,179.062,-33.728,-4.71111
31941,10.876,176.811,178.956,-33.728,-8.31289
31941.1,10.876,176.811,178.735,-33.728,-12.0308
31941.1,10.8538,174.345,178.367,-44.7633,-15.8116
31941.2,10.8538,174.345,178.027,-44.7633,-19.283
31941.3,10.8538,174.345,177.625,-44.7633,-23.0281
31941.3,10.8397,171.19,177.07,-55.6219,-26.7401
31941.4,10.8397,171.19,176.482,-55.6219,-30.3775
31941.5,10.8397,171.19,175.775,-55.6219,-34.1535
31941.4,10.8333,167.359,174.964,-66.2613,-37.856
31941.5,10.8333,167.359,174.147,-66.2613,-41.4293
31941.5,10.8333,167.359,173.289,-66.2613,-45.1781
31941.5,10.8195,162.869,172.27,-76.64,-48.8474
31941.6,10.8195,162.869,171.26,-76.64,-52.3864
31941.7,10.8195,162.869,170.174,-76.64,-56.0806
31941.8,10.8195,162.869,168.946,-76.64,-59.7369
31941.8,10.806,157.735,167.77,-86.7153,-62.9606
31941.9,10.806,157.735,166.763,-86.7153,-65.8987
31942,10.806,157.735,165.831,-86.7153,-68.896
31942,10.8,151.979,164.778,-96.448,-71.9621
31942,10.8,151.979,163.556,-96.448,-75.0163
31942.1,10.8,151.979,162.106,-96.448,-78.2554
31942.1,10.8088,145.623,160.486,-105.8,-81.536
31942.2,10.8088,145.623,158.861,-105.8,-84.5535
31942.3,10.8088,145.623,157.141,-105.8,-87.8341
31942.3,10.7956,138.692,155.318,-114.735,-91.0175
31942.4,10.7956,138.692,153.518,-114.735,-94.131
31942.4,10.7956,138.692,151.633,-114.735,-97.3511
31942.4,10.7899,131.214,149.605,-123.218,-100.5
31942.5,10.7899,131.214,147.614,-123.218,-103.525
31942.6,10.7899,131.214,145.566,-123.218,-106.643
31942.6,10.777,123.218,143.359,-131.214,-109.664
31942.7,10.777,123.218,141.182,-131.214,-112.538
31942.7,10.777,123.218,138.954,-131.214,-115.516
31942.7,10.7714,114.736,136.571,-138.692,-118.409
31943.5,10.7714,114.736,134.216,-138.692,-121.166
31942.8,10.7714,114.736,131.817,-138.692,-124.017
31942.9,10.7714,114.736,129.283,-138.692,-126.75
