Average timer callback time, Average topic callback time,Desired Position Motor #1,Present Position Motor #1,Desired Position Motor #2,Present Position Motor #2
31923.7,11.185,-11.3016,-68.7807,179.644,168.178
31923.8,11.1692,0,-62.583,180,170.43
31923.9,11.1584,11.3016,-56.5137,179.644,172.297
31924,11.1584,11.3016,-50.6223,179.644,173.7
31924.1,11.1478,22.5594,-44.3027,178.58,174.793
31924.3,11.1275,33.7283,-38.356,176.811,175.57
31924.4,11.1275,33.7283,-32.2229,176.811,175.844
31924.4,11.122,44.7638,-25.7662,174.344,175.883
31924.5,11.1311,55.6229,-19.5463,171.189,175.912
31924.6,11.1311,55.6229,-13.5487,171.189,175.767
31924.7,11.1208,66.2618,-7.12366,167.359,175.211
31924.7,11.1106,76.6403,-0.877905,162.868,174.19
31925.1,11.1106,76.6403,5.17921,162.868,172.639
31925,11.0909,86.7154,11.6853,157.735,170.903
31925.2,11.0909,86.7154,17.7546,157.735,169.031
31925.4,11.0857,96.4484,24.2285,151.979,167.048
31925.2,11.0806,105.801,30.5094,145.623,165.005
31925.4,11.0806,105.801,36.5693,145.623,162.581
31925.7,11.0755,114.736,43.0582,138.692,159.895
31925.4,11.0751,123.218,49.3212,131.214,157.056
31925.6,11.0751,123.218,55.4156,131.214,153.861
31926.2,11.0701,131.214,61.8737,123.218,150.379
31925.8,11.0651,138.692,68.1531,114.735,146.801
31925.7,11.0651,138.692,74.2734,114.735,142.852
31925.8,11.0602,145.623,80.7651,105.8,138.631
31925.9,11.0602,145.623,86.8258,105.8,134.383
31925.9,11.0553,151.979,93.3291,96.448,129.99
31925.9,11.0459,157.735,99.625,86.7153,125.575
31926.1,11.0459,157.735,105.716,86.7153,120.855
31926.1,11.0411,162.869,112.065,76.64,115.973
31926.2,11.0364,167.359,118.103,66.2613,111.063
31926.3,11.0364,167.359,123.78,66.2613,105.792
31926.3,11.0317,171.19,129.732,55.6219,100.343
31926.4,11.0225,174.345,135.223,44.7633,94.8729
31926.5,11.0225,174.345,140.286,44.7633,89.1781
31926.5,11.0135,176.811,145.437,33.728,83.3801
31926.6,11.0135,176.811,149.988,33.728,77.5087
31926.7,11.0045,178.581,154.513,22.5588,71.6207
31926.7,10.9956,179.644,158.502,11.3019,65.427
31926.8,10.9956,179.644,161.97,11.3019,59.4003
31926.7,11.0177,180,165.304,0,53.2871
31926.8,11.0088,179.644,168.003,-11.3019,47.3043
31927,11.0088,179.644,170.322,-11.3019,41.005
31926.9,11.0044,178.581,172.219,-22.5588,34.7402
31927,11,176.811,173.589,-33.728,28.5665
31927.1,11,176.811,174.575,-33.728,22.2673
31927.1,10.9957,174.345,175.113,-44.7633,16.0403
31927.2,10.9957,174.345,175.352,-44.7633,9.80385
31927.3,10.9913,171.19,175.365,-55.6219,3.56385
31927.3,10.9871,167.359,175.194,-66.2613,-2.67852
31927.4,10.9871,167.359,174.705,-66.2613,-8.97304
31927.5,10.9785,162.869,173.835,-76.64,-15.2782
31927.5,10.9701,157.735,172.731,-86.7153,-21.5431
31927.6,10.9701,157.735,171.357,-86.7153,-27.808
31927.7,10.966,151.979,169.652,-96.448,-33.9425
31927.8,10.9576,145.623,167.755,-105.8,-40.2584
31927.9,10.9576,145.623,165.625,-105.8,-46.5493
31927.9,10.9536,138.692,163.158,-114.735,-52.8154
31928.4,10.9536,138.692,160.557,-114.735,-59.1218
31928.1,10.9622,131.214,157.646,-123.218,-65.427
31928.1,10.9498,123.218,154.826,-131.214,-71.7025
31928.2,10.9498,123.218,151.768,-131.214,-77.9935
31928.3,10.9583,114.736,148.423,-138.692,-84.2524
31928.4,10.9461,105.801,144.943,-145.623,-90.5256
31928.5,10.9461,105.801,141.27,-145.623,-96.8119
31928.5,10.938,96.4484,137.313,-151.979,-103.07
31928.5,10.9259,86.7154,133.183,-157.735,-109.378
31928.7,10.9259,86.7154,128.839,-157.735,-115.648
31928.7,10.9139,76.6403,124.235,-162.868,-121.881
31928.8,10.9061,66.2618,119.515,-167.359,-127.785
31928.9,10.9061,66.2618,114.605,-167.359,-133.676
31929,10.8902,55.6229,109.456,-171.189,-139.238
31929.1,10.8902,55.6229,104.22,-171.189,-144.486
31929.2,10.8785,44.7638,98.8619,-174.344,-149.312
31929.2,10.871,33.7283,93.4252,-176.811,-153.656
31929.3,10.871,33.7283,87.901,-176.811,-157.702
31929.4,10.8675,22.5594,82.2419,-178.58,-161.38
31929.4,10.86,11.3016,76.4911,-179.644,-164.583
31929.5,10.86,11.3016,70.6578,-179.644,-167.432
31929.5,10.8526,0,64.7455,-180,-169.787
31929.6,10.8413,-11.3016,58.7422,-179.644,-171.759
31929.7,10.8413,-11.3016,52.665,-179.644,-173.259
31929.8,10.83,-22.5594,46.5613,-178.58,-174.418
31929.8,10.83,-22.5594,40.4446,-178.58,-175.291
31929.8,10.8228,-33.7283,34.2605,-176.811,-175.868
31929.9,10.8157,-44.7638,28.0636,-174.344,-176.268
31930,10.8157,-44.7638,21.8573,-174.344,-176.256
